num_trees,points_per_class,connectivity,neighborhood_size,kappa_multi,overall_multi,pa_water_multi,ua_water_multi,kappa_binary,overall_binary,pa_water_binary,ua_water_binary
1000,100,8,128,0.78,82,87.0,97.0,0.93,96.45,94.0,98.95
1000,100,8,256,0.74,78,86.0,98.0,0.92,95.94,93.0,98.94
1000,150,4,128,0.76,81,91.0,89.0,0.83,91.67,86.05,94.87
1000,150,4,256,0.77,81,88.0,96.0,0.92,95.83,91.86,98.75
1000,150,8,128,0.78,82,87.0,97.0,0.88,94.27,91.86,95.18
1000,150,8,256,0.74,78,86.0,98.0,0.93,96.35,93.02,98.77
1000,200,4,128,0.84,87,91.0,93.0,0.91,95.38,91.49,98.85
1000,200,4,256,0.82,85,90.0,91.0,0.92,95.9,92.55,98.86
1000,200,8,128,0.84,87,91.0,93.0,0.93,96.41,92.55,100.0
1000,200,8,256,0.81,84,93.0,87.0,0.9,94.87,89.36,100.0
1000,250,4,128,0.82,88,92.0,100.0,0.82,91.15,84.47,98.86
1000,250,4,256,0.83,86,93.0,100.0,0.88,93.75,88.35,100.0
1000,250,8,128,0.8,83,96.0,84.0,0.83,91.67,85.44,98.88
1000,250,8,256,0.81,84,92.0,96.0,0.87,93.23,87.38,100.0
1000,300,4,128,0.83,86,91.0,92.0,0.87,93.3,86.02,100.0
1000,300,4,256,0.84,87,89.0,100.0,0.9,94.85,89.25,100.0
1000,300,8,128,0.82,85,93.0,97.0,0.91,95.36,90.32,100.0
1000,300,8,256,0.79,83,91.0,87.0,0.92,95.88,91.4,100.0
1000,350,4,128,0.83,86,91.0,99.0,0.94,96.95,94.79,98.91
1000,350,4,256,0.82,85,90.0,97.0,0.96,97.97,95.83,100.0
1000,350,8,128,0.8,83,95.0,88.0,0.94,96.94,96.91,96.91
1000,350,8,256,0.8,83,92.0,92.0,0.94,96.95,95.83,97.87
1000,400,4,128,0.85,87,93.0,100.0,0.94,96.95,94.79,98.91
1000,400,4,256,0.87,88,97.0,100.0,0.96,97.97,95.83,100.0
1000,400,8,128,0.86,88,95.0,100.0,0.94,96.94,96.91,96.91
1000,400,8,256,0.86,88,99.0,98.0,0.94,96.95,95.83,97.87
