system:index,B10,B2,B3,B4,B5,B6,B7,Hillshade,MNDWI,NDVI,id,slope,.geo,Class,Sensor,B10_normalized
45_0,300.9219,0.2006009,0.20847982,0.21040791,0.18632142,0.2284711,0.16907977,255,-0.045751773,-0.060712654,-478857948,32.70644,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.4321149516823,-43.58614329008199]}",BareSurface,LT04,0.8578548598166387
46_0,288.62238,0.19069555,0.1746912,0.16385478,0.13826194,0.14625613,0.12097752,255,0.0885973,-0.084711745,-625999844,36.553402,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.50151745585762,-43.461668143604776]}",BareSurface,LT04,0.5965211944561959
47_0,282.65118,0.14541395,0.11632901,0.10360955,0.08676966,0.073176175,0.0568412,176,0.2277132,-0.088454425,-813180150,35.930756,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.04320875206344,-43.73940885518219]}",BareSurface,LT04,0.46964830977449434
48_0,288.17432,0.1355086,0.1194007,0.10360955,0.09020248,0.07774367,0.066461645,195,0.21130215,-0.069175616,-1533930648,1.4057364,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.0496908851734,-43.73000887115616]}",BareSurface,LT04,0.5870010536619698
49_0,290.39716,0.14258386,0.12554409,0.11456323,0.10050094,0.1074324,0.076082096,194,0.07774039,-0.06538647,-1478064270,1.2068528,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.04808954726778,-43.713518422248164]}",BareSurface,LT04,0.634230776830825
50_0,287.27277,0.15107416,0.13168748,0.12004007,0.10736658,0.10058116,0.085702546,176,0.13392387,-0.055730518,-899127516,12.582401,"{""geodesic"":false,""type"":""Point"",""coordinates"":[169.98432042870755,-43.69676248338141]}",BareSurface,LT04,0.5678453983188573
51_0,289.51324,0.1298484,0.10711392,0.09539428,0.083336845,0.08459492,0.06325483,191,0.11746459,-0.06746133,2045955008,0.4093237,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.06586107023116,-43.552132732181576]}",BareSurface,LT04,0.6154497143596553
52_0,288.17432,0.1383387,0.12247239,0.10360955,0.09020248,0.086878665,0.069668464,169,0.17001933,-0.069175616,2072117495,8.936011,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.09336165478754,-43.55100350838811]}",BareSurface,LT04,0.5870010536619698
53_0,286.3639,0.13692366,0.10711392,0.09265587,0.07990403,0.08002742,0.060048014,153,0.14473821,-0.073898055,784396909,13.705241,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.0822211879617,-43.55091461678033]}",BareSurface,LT04,0.5485342115053767
54_0,286.3639,0.13692366,0.11632901,0.10087112,0.08676966,0.08002742,0.076082096,177,0.184876,-0.07515136,-855070460,5.208725,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.06063902479067,-43.57748160511924]}",BareSurface,LT04,0.5485342115053767
